ရောဂါအမည်,ကြိုတင်ကာကွယ်ရန်_၁,ကြိုတင်ကာကွယ်ရန်_၂,ကြိုတင်ကာကွယ်ရန်_၃,ကြိုတင်ကာကွယ်ရန်_၄
ရေကျောက်ရောဂါ,ရေချိုးသည့်အခါ တမာရွက် ထည့်သွင်း အသုံးပြုပါ,တိမ်ပင်/တမာရွက် စားသုံးပါ,ကာကွယ်ဆေး ထိုးနှံပါ,လူထူထပ်သော နေရာများသို့ သွားရောက်ခြင်းမှ ရှောင်ကြဉ်ပါ
ဇက်ဆစ် ကျောရိုးတက်ရောဂါ,ရေနွေးအိတ် သို့မဟုတ် ရေခဲအိတ် ကပ်ပေးပါ,ပုံမှန် လေ့ကျင့်ခန်း ပြုလုပ်ပါ,အကိုက်အခဲပျောက်ဆေး သောက်သုံးပါ,ဆရာဝန်နှင့် တိုင်ပင်ဆွေးနွေးပါ
သိုင်းရွိုက်ဟော်မုန်း လွန်ကဲရောဂါ,ကျန်းမာရေးနှင့် ညီညွတ်သော အစားအစာများကို စားသုံးပါ,နှိပ်နယ်ပေးပါ,Lemon Balm (သဘာဝ ဆေးဘက်ဝင်အဆီ) အသုံးပြုပါ,ဓါတ်ရောင်ခြည်ပြ အိုင်အိုဒင်း ကုသမှု ခံယူပါ
ဆီးလမ်းကြောင်း ပိုးဝင်ရောဂါ,ရေများများ သောက်ပါ,ဗီတာမင်စီ ပါဝင်မှုကို တိုးမြှင့် စားသုံးပါ,ခရမ်ဘာရီ (Cranberry) ဖျော်ရည် သောက်ပါ,ပရိုဘိုင်အိုတစ် (Probiotics) သောက်သုံးပါ
သွေးပြန်ကြော ထောင်ရောဂါ,မတ်မတ် လှဲလျောင်းပြီး ခြေထောက်ကို မြှင့်ထားပါ,လိမ်းဆေးဆီများ အသုံးပြုပါ,သွေးပြန်ကြော ဖိအားပေး ခြေအိတ်/ပတ်တီး အသုံးပြုပါ,အချိန်ကြာမြင့်စွာ မတ်တပ်ရပ်နေခြင်းမှ ရှောင်ကြဉ်ပါ
အေအိုင်ဒီအက်စ် ရောဂါ (AIDS),ဒဏ်ရာ၊ အနာဟောင်းလောင်းများကို ထိခိုက်မှုမရှိအောင် ရှောင်ပါ,ဖြစ်နိုင်ပါက တစ်ကိုယ်ရေ ကာကွယ်ရေး ဝတ်စုံ (PPE) ဝတ်ဆင်ပါ,ဆရာဝန်နှင့် တိုင်ပင်ဆွေးနွေးပါ,ဆေးကုသမှုကို ပုံမှန် ပြန်လည်ပြသ စစ်ဆေးပါ
ဦးနှောက်သွေးယို၍ လေဖြတ်ရောဂါ,နှိပ်နယ်ပေးပါ,ကျန်းမာရေးနှင့် ညီညွတ်သော အစားအစာများကို စားသုံးပါ,ပုံမှန် လေ့ကျင့်ခန်း ပြုလုပ်ပါ,ဆရာဝန်နှင့် တိုင်ပင်ဆွေးနွေးပါ
တိုင်ဖွိုက် အဖျားရောဂါ,ကယ်လိုရီ မြင့်မားသော ဟင်းသီးဟင်းရွက်များ စားသုံးပါ,ပဋိဇီဝဆေး (Anti-biotics) ဖြင့် ကုသမှုခံယူပါ,ဆရာဝန်နှင့် တိုင်ပင်ဆွေးနွေးပါ,ညွှန်ကြားထားသော ဆေးဝါးများကို မှန်မှန် သောက်သုံးပါ
အသည်းရောင် အသားဝါ (ဘီ) ရောဂါ,နီးစပ်ရာ ဆေးရုံ သို့မဟုတ် ဆေးခန်းသို့ သွားရောက်ပါ,ကာကွယ်ဆေး ထိုးနှံပါ,ကျန်းမာရေးနှင့် ညီညွတ်သော အစားအစာများကို စားသုံးပါ,ညွှန်ကြားထားသော ဆေးဝါးများကို မှန်မှန် သောက်သုံးပါ
မှိုပိုးဝင်ရောဂါ,တစ်နေ့ နှစ်ကြိမ် ရေချိုးပါ,ရေချိုးရေတွင် ဓါတ်ဆီ (Dettol) သို့မဟုတ် တမာရွက် ထည့်သုံးပါ,ပိုးဝင်ထားသော နေရာကို ခြောက်သွေ့အောင် ထားပါ,သန့်ရှင်းသော အဝတ်အစားများ အသုံးပြုပါ
အသည်းရောင် အသားဝါ (စီ) ရောဂါ,နီးစပ်ရာ ဆေးရုံ သို့မဟုတ် ဆေးခန်းသို့ သွားရောက်ပါ,ကာကွယ်ဆေး ထိုးနှံပါ,ကျန်းမာရေးနှင့် ညီညွတ်သော အစားအစာများကို စားသုံးပါ,ညွှန်ကြားထားသော ဆေးဝါးများကို မှန်မှန် သောက်သုံးပါ
မိုင်ဂရိန်း ခေါင်းကိုက်ရောဂါ,တရားထိုင်ခြင်း/စိတ်ငြိမ်အောင် ပြုလုပ်ပါ,စိတ်ဖိစီးမှုကို လျှော့ချပါ,နေပူထဲထွက်ပါက Polarized နေကာမျက်မှန် တပ်ပါ,ဆရာဝန်နှင့် တိုင်ပင်ဆွေးနွေးပါ
ပန်းနာရင်ကြပ်ရောဂါ,ချောင်ချိသော အဝတ်အစားများကို လဲလှယ်ဝတ်ဆင်ပါ,အသက်ကို ရှူရှိုက်ပါ,ဓာတ်မတည့်မှု ဖြစ်စေသော အရာများနှင့် ဝေးဝေးနေပါ,အကူအညီ တောင်းခံပါ
အရက်ကြောင့် အသည်းရောင်ရောဂါ,အရက်သောက်သုံးခြင်းကို လုံးဝရပ်ဆိုင်းပါ,ဆရာဝန်နှင့် တိုင်ပင်ဆွေးနွေးပါ,ညွှန်ကြားထားသော ဆေးဝါးများကို မှန်မှန် သောက်သုံးပါ,ဆေးကုသမှုကို ပုံမှန် ပြန်လည်ပြသ စစ်ဆေးပါ
အသားဝါရောဂါ,ရေများများ သောက်ပါ,Milk Thistle (အသည်းအားဆေး/ဆေးဘက်ဝင်အပင်) သောက်သုံးပါ,သစ်သီးများနှင့် အမျှင်ဓာတ်ကြွယ်ဝသော အစားအစာများ စားသုံးပါ,ညွှန်ကြားထားသော ဆေးဝါးများကို မှန်မှန် သောက်သုံးပါ
အသည်းရောင် အသားဝါ (အီး) ရောဂါ,အရက်သောက်သုံးခြင်းကို လုံးဝရပ်ဆိုင်းပါ,အနားယူပါ,ဆရာဝန်နှင့် တိုင်ပင်ဆွေးနွေးပါ,ညွှန်ကြားထားသော ဆေးဝါးများကို မှန်မှန် သောက်သုံးပါ
သွေးလွန်တုပ်ကွေးရောဂါ,သင်္ဘောရွက် အရည် သောက်ပါ,အဆီများသော/အစပ် အစားအစာများကို ရှောင်ကြဉ်ပါ,ခြင် မကိုက်အောင် ကာကွယ်ပါ,ခန္ဓာကိုယ်တွင် ရေဓာတ် ပြည့်ဝနေအောင် ထိန်းသိမ်းပါ
အသည်းရောင် အသားဝါ (ဒီ) ရောဂါ,ဆရာဝန်နှင့် တိုင်ပင်ဆွေးနွေးပါ,ညွှန်ကြားထားသော ဆေးဝါးများကို မှန်မှန် သောက်သုံးပါ,ကျန်းမာရေးနှင့် ညီညွတ်သော အစားအစာများကို စားသုံးပါ,ဆေးကုသမှုကို ပုံမှန် ပြန်လည်ပြသ စစ်ဆေးပါ
နှလုံးဖောက်ရောဂါ,အရေးပေါ် လူနာတင်ယာဉ် ခေါ်ဆိုပါ,အက်စပရင် (Aspirin) ဆေးပြားကို ဝါးစားပါ သို့မဟုတ် မျိုချပါ,စိတ်ကို အေးအေးထားပါ,
အဆုတ်ရောင်ရောဂါ,ဆရာဝန်နှင့် တိုင်ပင်ဆွေးနွေးပါ,ညွှန်ကြားထားသော ဆေးဝါးများကို မှန်မှန် သောက်သုံးပါ,အနားယူပါ,ဆေးကုသမှုကို ပုံမှန် ပြန်လည်ပြသ စစ်ဆေးပါ
အဆစ်ရောင်ရောဂါ,ပုံမှန် လေ့ကျင့်ခန်း ပြုလုပ်ပါ,ရေနွေး/ရေခဲ အလှည့်ကျ ကပ်ပေးသော ကုသမှု အသုံးပြုပါ,အပ်စိုက်ကုသမှု စမ်းသပ်ကြည့်ပါ,နှိပ်နယ်ပေးပါ
အစာအိမ်နှင့် အူလမ်းကြောင်း ရောင်ရမ်းရောဂါ,ခဏတာ အစာမာ စားခြင်းကို ရပ်ဆိုင်းပါ,ရေကို နည်းနည်းစီ ကျေးဇူးပြု၍ မကြာခဏ ငုံသောက်ပါ,အနားယူပါ,အစာကို ဖြည်းဖြည်းချင်း အစာပျော့မှစ၍ ပြန်လည်စားသုံးပါ
တီဘီရောဂါ,ပါးစပ်နှင့် နှာခေါင်းကို ဖုံးအုပ်ထားပါ (နှာခေါင်းစည်း တပ်ပါ),ဆရာဝန်နှင့် တိုင်ပင်ဆွေးနွေးပါ,ညွှန်ကြားထားသော ဆေးဝါးများကို မှန်မှန် သောက်သုံးပါ,အနားယူပါ
