ရောဂါအမည်,ရောဂါလက္ခဏာ_၁,ရောဂါလက္ခဏာ_၂,ရောဂါလက္ခဏာ_၃,ရောဂါလက္ခဏာ_၄,ရောဂါလက္ခဏာ_၅,ရောဂါလက္ခဏာ_၆,ရောဂါလက္ခဏာ_၇,ရောဂါလက္ခဏာ_၈,ရောဂါလက္ခဏာ_၉,ရောဂါလက္ခဏာ_၁၀,ရောဂါလက္ခဏာ_၁၁,ရောဂါလက္ခဏာ_၁၂,ရောဂါလက္ခဏာ_၁၃,ရောဂါလက္ခဏာ_၁၄,ရောဂါလက္ခဏာ_၁၅,ရောဂါလက္ခဏာ_၁၆,ရောဂါလက္ခဏာ_၁၇
ဆီးချိုရောဂါ,မောပန်းနွမ်းနယ်,ဝိတ်ကျ,ဂနာမငြိမ်ဖြစ်,အားအင်ကုန်ခန်း/နုံးခွေ,သွေးတွင်းသကြားဓာတ် မမှန်,အမြင်အာရုံ ဝေဝါး,အလွန်အမင်း ဆာလောင်,အစာစားချင်စိတ် တိုးလာ,ဆီးမကြာခဏသွား,,,,,,,,
ဆီးချိုရောဂါ,မောပန်းနွမ်းနယ်,ဝိတ်ကျ,ဂနာမငြိမ်ဖြစ်,အားအင်ကုန်ခန်း/နုံးခွေ,သွေးတွင်းသကြားဓာတ် မမှန်,အမြင်အာရုံ ဝေဝါး,အဆုတ်လွန် အဝလွန်,အစာစားချင်စိတ် တိုးလာ,ဆီးမကြာခဏသွား,,,,,,,,
အစာအိမ်နှင့် အူလမ်းကြောင်း ရောင်ရမ်းရောဂါ,အန်,မျက်တွင်းဟောက်ပိုင်,ရေဓာတ်ခမ်းခြောက်,ဝမ်းလျှော,,,,,,,,,,,,,
အစာအိမ်နှင့် အူလမ်းကြောင်း ရောင်ရမ်းရောဂါ,မျက်တွင်းဟောက်ပိုင်,ရေဓာတ်ခမ်းခြောက်,ဝမ်းလျှော,,,,,,,,,,,,,,
အစာအိမ်နှင့် အူလမ်းကြောင်း ရောင်ရမ်းရောဂါ,အန်,ရေဓာတ်ခမ်းခြောက်,ဝမ်းလျှော,,,,,,,,,,,,,,
အစာအိမ်နှင့် အူလမ်းကြောင်း ရောင်ရမ်းရောဂါ,အန်,မျက်တွင်းဟောက်ပိုင်,ဝမ်းလျှော,,,,,,,,,,,,,,
အစာအိမ်နှင့် အူလမ်းကြောင်း ရောင်ရမ်းရောဂါ,အန်,မျက်တွင်းဟောက်ပိုင်,ရေဓာတ်ခမ်းခြောက်,,,,,,,,,,,,,,
ပန်းနာရင်ကြပ်ရောဂါ,မောပန်းနွမ်းနယ်,ချောင်းဆိုး,အဖျားကြီး,အသက်ရှူရခက်,မိသားစု ရောဂါရာဇဝင်ရှိ,ချွဲသလိပ်ပါ,,,,,,,,,,,
ပန်းနာရင်ကြပ်ရောဂါ,ချောင်းဆိုး,အဖျားကြီး,အသက်ရှူရခက်,မိသားစု ရောဂါရာဇဝင်ရှိ,ချွဲသလိပ်ပါ,,,,,,,,,,,,
ပန်းနာရင်ကြပ်ရောဂါ,မောပန်းနွမ်းနယ်,အဖျားကြီး,အသက်ရှူရခက်,မိသားစု ရောဂါရာဇဝင်ရှိ,ချွဲသလိပ်ပါ,,,,,,,,,,,,
ပန်းနာရင်ကြပ်ရောဂါ,မောပန်းနွမ်းနယ်,ချောင်းဆိုး,အသက်ရှူရခက်,မိသားစု ရောဂါရာဇဝင်ရှိ,ချွဲသလိပ်ပါ,,,,,,,,,,,,
ပန်းနာရင်ကြပ်ရောဂါ,မောပန်းနွမ်းနယ်,ချောင်းဆိုး,အဖျားကြီး,မိသားစု ရောဂါရာဇဝင်ရှိ,ချွဲသလိပ်ပါ,,,,,,,,,,,,
ပန်းနာရင်ကြပ်ရောဂါ,မောပန်းနွမ်းနယ်,ချောင်းဆိုး,အဖျားကြီး,အသက်ရှူရခက်,ချွဲသလိပ်ပါ,,,,,,,,,,,,
ပန်းနာရင်ကြပ်ရောဂါ,မောပန်းနွမ်းနယ်,ချောင်းဆိုး,အဖျားကြီး,အသက်ရှူရခက်,မိသားစု ရောဂါရာဇဝင်ရှိ,,,,,,,,,,,,
သွေးတိုးရောဂါ,ခေါင်းကိုက်,ရင်ဘတ်နာ,ခေါင်းမူး,ဟန်ချက်ပျက်,အာရုံစူးစိုက်မှုမရ,,,,,,,,,,,,
သွေးတိုးရောဂါ,ရင်ဘတ်နာ,ခေါင်းမူး,ဟန်ချက်ပျက်,အာရုံစူးစိုက်မှုမရ,,,,,,,,,,,,,
သွေးတိုးရောဂါ,ခေါင်းကိုက်,ခေါင်းမူး,ဟန်ချက်ပျက်,အာရုံစူးစိုက်မှုမရ,,,,,,,,,,,,,
သွေးတိုးရောဂါ,ခေါင်းကိုက်,ရင်ဘတ်နာ,ဟန်ချက်ပျက်,အာရုံစူးစိုက်မှုမရ,,,,,,,,,,,,,
သွေးတိုးရောဂါ,ခေါင်းကိုက်,ရင်ဘတ်နာ,ခေါင်းမူး,အာရုံစူးစိုက်မှုမရ,,,,,,,,,,,,,
သွေးတိုးရောဂါ,ခေါင်းကိုက်,ရင်ဘတ်နာ,ခေါင်းမူး,ဟန်ချက်ပျက်,,,,,,,,,,,,,
မိုင်ဂရိန်း ခေါင်းကိုက်ရောဂါ,အက်ဆစ်ဓာတ်များ,အစာမကြေ,ခေါင်းကိုက်,အမြင်အာရုံ ဝေဝါး,အလွန်အမင်း ဆာလောင်,ဇက်တောင့်,စိတ်ဓာတ်ကျ,စိတ်တိုလွယ်,အမြင်အာရုံ နှောင့်ယှက်မှုရှိ,,,,,,,,
မိုင်ဂရိန်း ခေါင်းကိုက်ရောဂါ,အစာမကြေ,ခေါင်းကိုက်,အမြင်အာရုံ ဝေဝါး,အလွန်အမင်း ဆာလောင်,ဇက်တောင့်,စိတ်ဓာတ်ကျ,စိတ်တိုလွယ်,အမြင်အာရုံ နှောင့်ယှက်မှုရှိ,,,,,,,,,
မိုင်ဂရိန်း ခေါင်းကိုက်ရောဂါ,အက်ဆစ်ဓာတ်များ,ခေါင်းကိုက်,အမြင်အာရုံ ဝေဝါး,အလွန်အမင်း ဆာလောင်,ဇက်တောင့်,စိတ်ဓာတ်ကျ,စိတ်တိုလွယ်,အမြင်အာရုံ နှောင့်ယှက်မှုရှိ,,,,,,,,,
မိုင်ဂရိန်း ခေါင်းကိုက်ရောဂါ,အက်ဆစ်ဓာတ်များ,အစာမကြေ,အမြင်အာရုံ ဝေဝါး,အလွန်အမင်း ဆာလောင်,ဇက်တောင့်,စိတ်ဓာတ်ကျ,စိတ်တိုလွယ်,အမြင်အာရုံ နှောင့်ယှက်မှုရှိ,,,,,,,,,
မိုင်ဂရိန်း ခေါင်းကိုက်ရောဂါ,အက်ဆစ်ဓာတ်များ,အစာမကြေ,ခေါင်းကိုက်,အလွန်အမင်း ဆာလောင်,ဇက်တောင့်,စိတ်ဓာတ်ကျ,စိတ်တိုလွယ်,အမြင်အာရုံ နှောင့်ယှက်မှုရှိ,,,,,,,,,
မိုင်ဂရိန်း ခေါင်းကိုက်ရောဂါ,အက်ဆစ်ဓာတ်များ,အစာမကြေ,ခေါင်းကိုက်,အမြင်အာရုံ ဝေဝါး,ဇက်တောင့်,စိတ်ဓာတ်ကျ,စိတ်တိုလွယ်,အမြင်အာရုံ နှောင့်ယှက်မှုရှိ,,,,,,,,,
မိုင်ဂရိန်း ခေါင်းကိုက်ရောဂါ,အက်ဆစ်ဓာတ်များ,အစာမကြေ,ခေါင်းကိုက်,အမြင်အာရုံ ဝေဝါး,အလွန်အမင်း ဆာလောင်,စိတ်ဓာတ်ကျ,စိတ်တိုလွယ်,အမြင်အာရုံ နှောင့်ယှက်မှုရှိ,,,,,,,,,
မိုင်ဂရိန်း ခေါင်းကိုက်ရောဂါ,အက်ဆစ်ဓာတ်များ,အစာမကြေ,ခေါင်းကိုက်,အမြင်အာရုံ ဝေဝါး,အလွန်အမင်း ဆာလောင်,ဇက်တောင့်,စိတ်တိုလွယ်,အမြင်အာရုံ နှောင့်ယှက်မှုရှိ,,,,,,,,,
မိုင်ဂရိန်း ခေါင်းကိုက်ရောဂါ,အက်ဆစ်ဓာတ်များ,အစာမကြေ,ခေါင်းကိုက်,အမြင်အာရုံ ဝေဝါး,အလွန်အမင်း ဆာလောင်,ဇက်တောင့်,စိတ်ဓာတ်ကျ,အမြင်အာရုံ နှောင့်ယှက်မှုရှိ,,,,,,,,,
မိုင်ဂရိန်း ခေါင်းကိုက်ရောဂါ,အက်ဆစ်ဓာတ်များ,အစာမကြေ,ခေါင်းကိုက်,အမြင်အာရုံ ဝေဝါး,အလွန်အမင်း ဆာလောင်,ဇက်တောင့်,စိတ်ဓာတ်ကျ,စိတ်တိုလွယ်,,,,,,,,,
ဇက်ဆစ် ကျောရိုးတက်ရောဂါ,ခါးနာ,ခြေလက် အားနည်း,ဇက်နာ,ခေါင်းမူး,ဟန်ချက်ပျက်,,,,,,,,,,,,
ဇက်ဆစ် ကျောရိုးတက်ရောဂါ,ခြေလက် အားနည်း,ဇက်နာ,ခေါင်းမူး,ဟန်ချက်ပျက်,,,,,,,,,,,,,
ဇက်ဆစ် ကျောရိုးတက်ရောဂါ,ခါးနာ,ဇက်နာ,ခေါင်းမူး,ဟန်ချက်ပျက်,,,,,,,,,,,,,
ဇက်ဆစ် ကျောရိုးတက်ရောဂါ,ခါးနာ,ခြေလက် အားနည်း,ခေါင်းမူး,ဟန်ချက်ပျက်,,,,,,,,,,,,,
ဇက်ဆစ် ကျောရိုးတက်ရောဂါ,ခါးနာ,ခြေလက် အားနည်း,ဇက်နာ,ဟန်ချက်ပျက်,,,,,,,,,,,,,
ဇက်ဆစ် ကျောရိုးတက်ရောဂါ,ခါးနာ,ခြေလက် အားနည်း,ဇက်နာ,ခေါင်းမူး,,,,,,,,,,,,,
ဦးနှောက်သွေးယို၍ လေဖြတ်ရောဂါ,အန်,ခေါင်းကိုက်,တစ်ခြမ်း အားနည်း,သတိအာရုံ ချို့ယွင်း,,,,,,,,,,,,,
ဦးနှောက်သွေးယို၍ လေဖြတ်ရောဂါ,ခေါင်းကိုက်,တစ်ခြမ်း အားနည်း,သတိအာရုံ ချို့ယွင်း,,,,,,,,,,,,,,
ဦးနှောက်သွေးယို၍ လေဖြတ်ရောဂါ,အန်,တစ်ခြမ်း အားနည်း,သတိအာရုံ ချို့ယွင်း,,,,,,,,,,,,,,
ဦးနှောက်သွေးယို၍ လေဖြတ်ရောဂါ,အန်,ခေါင်းကိုက်,သတိအာရုံ ချို့ယွင်း,,,,,,,,,,,,,,
ဦးနှောက်သွေးယို၍ လေဖြတ်ရောဂါ,အန်,ခေါင်းကိုက်,တစ်ခြမ်း အားနည်း,,,,,,,,,,,,,,
အသားဝါရောဂါ,ယားယံ,အန်,မောပန်းနွမ်းနယ်,ဝိတ်ကျ,အဖျားကြီး,အသားဝါ,ဆီးအရောင်ရင့်,ဗိုက်နာ,,,,,,,,,
အသားဝါရောဂါ,အန်,မောပန်းနွမ်းနယ်,ဝိတ်ကျ,အဖျားကြီး,အသားဝါ,ဆီးအရောင်ရင့်,ဗိုက်နာ,,,,,,,,,,
အသားဝါရောဂါ,ယားယံ,မောပန်းနွမ်းနယ်,ဝိတ်ကျ,အဖျားကြီး,အသားဝါ,ဆီးအရောင်ရင့်,ဗိုက်နာ,,,,,,,,,,
အသားဝါရောဂါ,ယားယံ,အန်,ဝိတ်ကျ,အဖျားကြီး,အသားဝါ,ဆီးအရောင်ရင့်,ဗိုက်နာ,,,,,,,,,,
အသားဝါရောဂါ,ယားယံ,အန်,မောပန်းနွမ်းနယ်,အဖျားကြီး,အသားဝါ,ဆီးအရောင်ရင့်,ဗိုက်နာ,,,,,,,,,,
အသားဝါရောဂါ,ယားယံ,အန်,မောပန်းနွမ်းနယ်,ဝိတ်ကျ,အသားဝါ,ဆီးအရောင်ရင့်,ဗိုက်နာ,,,,,,,,,,
အသားဝါရောဂါ,ယားယံ,အန်,မောပန်းနွမ်းနယ်,ဝိတ်ကျ,အဖျားကြီး,ဆီးအရောင်ရင့်,ဗိုက်နာ,,,,,,,,,,
အသားဝါရောဂါ,ယားယံ,အန်,မောပန်းနွမ်းနယ်,ဝိတ်ကျ,အဖျားကြီး,အသားဝါ,ဗိုက်နာ,,,,,,,,,,
အသားဝါရောဂါ,ယားယံ,အန်,မောပန်းနွမ်းနယ်,ဝိတ်ကျ,အဖျားကြီး,အသားဝါ,ဆီးအရောင်ရင့်,,,,,,,,,,
ငှက်ဖျားရောဂါ,ချမ်းစိမ့်,အန်,အဖျားကြီး,ချွေးထွက်လွန်,ခေါင်းကိုက်,ပျို့အန်ချင်,ကြွက်သားနာ,,,,,,,,,,
ငှက်ဖျားရောဂါ,ချမ်းစိမ့်,အန်,အဖျားကြီး,ချွေးထွက်လွန်,ခေါင်းကိုက်,ပျို့အန်ချင်,ဝမ်းလျှော,ကြွက်သားနာ,,,,,,,,,
ငှက်ဖျားရောဂါ,အန်,အဖျားကြီး,ချွေးထွက်လွန်,ခေါင်းကိုက်,ပျို့အန်ချင်,ဝမ်းလျှော,ကြွက်သားနာ,,,,,,,,,,
ငှက်ဖျားရောဂါ,ချမ်းစိမ့်,အဖျားကြီး,ချွေးထွက်လွန်,ခေါင်းကိုက်,ပျို့အန်ချင်,ဝမ်းလျှော,ကြွက်သားနာ,,,,,,,,,,
ငှက်ဖျားရောဂါ,ချမ်းစိမ့်,အန်,ချွေးထွက်လွန်,ခေါင်းကိုက်,ပျို့အန်ချင်,ဝမ်းလျှော,ကြွက်သားနာ,,,,,,,,,,
ငှက်ဖျားရောဂါ,ချမ်းစိမ့်,အန်,အဖျားကြီး,ခေါင်းကိုက်,ပျို့အန်ချင်,ဝမ်းလျှော,ကြွက်သားနာ,,,,,,,,,,
ငှက်ဖျားရောဂါ,ချမ်းစိမ့်,အန်,အဖျားကြီး,ချွေးထွက်လွန်,ပျို့အန်ချင်,ဝမ်းလျှော,ကြွက်သားနာ,,,,,,,,,,
ငှက်ဖျားရောဂါ,ချမ်းစိမ့်,အန်,အဖျားကြီး,ချွေးထွက်လွန်,ခေါင်းကိုက်,ဝမ်းလျှော,ကြွက်သားနာ,,,,,,,,,,
ရေကျောက်ရောဂါ,ယားယံ,အရေပြား အဖုအပိန့်ထ,မောပန်းနွမ်းနယ်,အားအင်ကုန်ခန်း/နုံးခွေ,အဖျားကြီး,ခေါင်းကိုက်,ခံတွင်းပျက်/အဆာမပြေ,အဖျားငွေ့ငွေ့ရှိ,ပြန်ရည်ကျင်းများ ရောင်,ကိုယ်လက်မအီမသာဖြစ်,ခန္ဓာကိုယ်ပေါ် အနီစက်များထ,,,,,,
